Year,RMS Amp (U)
2018 (Pre-Covid),164376.3
2018 (Pre-Covid),158919.4
2018 (Pre-Covid),171764.9
2018 (Pre-Covid),160117.2
2018 (Pre-Covid),163522.7
2018 (Pre-Covid),157836.7
2018 (Pre-Covid),153780.5
2018 (Pre-Covid),162444.5
2018 (Pre-Covid),149434.4
2018 (Pre-Covid),140666.8
2018 (Pre-Covid),135857.2
2018 (Pre-Covid),131467.5
2018 (Pre-Covid),151003.1
2018 (Pre-Covid),154745.2
2018 (Pre-Covid),140523.7
2018 (Pre-Covid),158939.9
2018 (Pre-Covid),156353.1
2018 (Pre-Covid),163227.1
2018 (Pre-Covid),151123.3
2018 (Pre-Covid),152348.5
2018 (Pre-Covid),155271.9
2018 (Pre-Covid),144142.8
2018 (Pre-Covid),185130.5
2018 (Pre-Covid),172762.3
2018 (Pre-Covid),158095
2018 (Pre-Covid),150583.1
2018 (Pre-Covid),255282
2018 (Pre-Covid),169788
2018 (Pre-Covid),162363.3
2018 (Pre-Covid),152602.4
2018 (Pre-Covid),182591.1
2018 (Pre-Covid),150467.1
2018 (Pre-Covid),146115.9
2018 (Pre-Covid),148344.6
2018 (Pre-Covid),165142.2
2018 (Pre-Covid),143437.6
2018 (Pre-Covid),156769.8
2018 (Pre-Covid),156973.8
2018 (Pre-Covid),160319.4
2018 (Pre-Covid),174988.3
2018 (Pre-Covid),204676.4
2018 (Pre-Covid),292461.3
2018 (Pre-Covid),272477
2018 (Pre-Covid),148428
2018 (Pre-Covid),142643.1
2018 (Pre-Covid),182788.2
2018 (Pre-Covid),181190.8
2018 (Pre-Covid),198192.6
2018 (Pre-Covid),191642.1
2018 (Pre-Covid),192075.1
2018 (Pre-Covid),204704.3
2018 (Pre-Covid),193594.5
2018 (Pre-Covid),197769
2018 (Pre-Covid),195814.7
2018 (Pre-Covid),171353.7
2018 (Pre-Covid),194331
2018 (Pre-Covid),170830.1
2018 (Pre-Covid),187387.5
2018 (Pre-Covid),150854.1
2018 (Pre-Covid),201754.7
2018 (Pre-Covid),173230.1
2018 (Pre-Covid),174229.9
2018 (Pre-Covid),187176.8
2018 (Pre-Covid),180186.4
2018 (Pre-Covid),171253.9
2018 (Pre-Covid),174082.3
2018 (Pre-Covid),195547.2
2018 (Pre-Covid),157548.5
2018 (Pre-Covid),148603.1
2018 (Pre-Covid),188740.9
2018 (Pre-Covid),179621
2018 (Pre-Covid),196509.8
2018 (Pre-Covid),149457.3
2018 (Pre-Covid),193887.4
2018 (Pre-Covid),148092.2
2018 (Pre-Covid),186258.2
2018 (Pre-Covid),189325.6
2018 (Pre-Covid),137091.5
2018 (Pre-Covid),148563.6
2018 (Pre-Covid),151754.9
2018 (Pre-Covid),187106.4
2018 (Pre-Covid),192684.2
2018 (Pre-Covid),156477.4
2018 (Pre-Covid),150925.2
2018 (Pre-Covid),152539.4
2018 (Pre-Covid),174366.6
2018 (Pre-Covid),179462.4
2018 (Pre-Covid),178608
2018 (Pre-Covid),160251.2
2018 (Pre-Covid),181691.6
2018 (Pre-Covid),176364.8
2018 (Pre-Covid),179224
2018 (Pre-Covid),156708.6
2018 (Pre-Covid),193501.4
2018 (Pre-Covid),186298.8
2018 (Pre-Covid),165911
2018 (Pre-Covid),190854.8
2018 (Pre-Covid),188401.4
2018 (Pre-Covid),179302.9
2018 (Pre-Covid),178141.8
2018 (Pre-Covid),164527.1
2018 (Pre-Covid),149659.5
2018 (Pre-Covid),150950.8
2018 (Pre-Covid),180521
2018 (Pre-Covid),196745.9
2018 (Pre-Covid),195650.2
2018 (Pre-Covid),184784.5
2018 (Pre-Covid),179579
2018 (Pre-Covid),192184.1
2018 (Pre-Covid),203898.7
2018 (Pre-Covid),190783.3
2018 (Pre-Covid),218767.3
2018 (Pre-Covid),217074.5
2018 (Pre-Covid),217492.3
2018 (Pre-Covid),203296.8
2018 (Pre-Covid),213139.3
2018 (Pre-Covid),210186.1
2018 (Pre-Covid),194064.8
2018 (Pre-Covid),185697.2
2018 (Pre-Covid),182572.8
2018 (Pre-Covid),192845.9
2018 (Pre-Covid),183264.9
2018 (Pre-Covid),200704.9
2018 (Pre-Covid),193334.8
2018 (Pre-Covid),181096.5
2018 (Pre-Covid),229783.5
2018 (Pre-Covid),190093.7
2018 (Pre-Covid),196156.3
2018 (Pre-Covid),192128.2
2018 (Pre-Covid),182387.4
2018 (Pre-Covid),178320
2018 (Pre-Covid),171908.4
2018 (Pre-Covid),176737.6
2018 (Pre-Covid),196170.3
2018 (Pre-Covid),189915.4
2018 (Pre-Covid),170958.2
2018 (Pre-Covid),145476.9
2018 (Pre-Covid),174004
2018 (Pre-Covid),156646.8
2018 (Pre-Covid),140585.4
2018 (Pre-Covid),163170.5
2018 (Pre-Covid),188856.1
2018 (Pre-Covid),167700
2018 (Pre-Covid),151032.2
2018 (Pre-Covid),147490.3
2018 (Pre-Covid),160105.9
2018 (Pre-Covid),145962.3
2018 (Pre-Covid),155095.4
2018 (Pre-Covid),166860.4
2018 (Pre-Covid),148282.1
2018 (Pre-Covid),137334.8
2018 (Pre-Covid),179417.9
2018 (Pre-Covid),138485.3
2018 (Pre-Covid),152154.8
2018 (Pre-Covid),142480.6
2018 (Pre-Covid),165265.7
2018 (Pre-Covid),176349.9
2018 (Pre-Covid),149908.5
2018 (Pre-Covid),133916.1
2018 (Pre-Covid),182377.8
2018 (Pre-Covid),157467.1
2018 (Pre-Covid),179865.8
2018 (Pre-Covid),190168.1
2018 (Pre-Covid),186718
2018 (Pre-Covid),160330.9
2018 (Pre-Covid),161978.7
2018 (Pre-Covid),202613.9
2018 (Pre-Covid),181304
2018 (Pre-Covid),173730.7
2018 (Pre-Covid),179126.8
2018 (Pre-Covid),168234.5
2018 (Pre-Covid),195863
2018 (Pre-Covid),181549
2018 (Pre-Covid),168519
2018 (Pre-Covid),181509.8
2018 (Pre-Covid),160974.3
2018 (Pre-Covid),269993.3
2018 (Pre-Covid),300208.9
2018 (Pre-Covid),185039
2018 (Pre-Covid),154561.6
2018 (Pre-Covid),186696.2
2018 (Pre-Covid),178332
2018 (Pre-Covid),192338.8
2018 (Pre-Covid),180024.6
2018 (Pre-Covid),163745
2018 (Pre-Covid),179288.6
2018 (Pre-Covid),207131.2
2018 (Pre-Covid),180842.1
2018 (Pre-Covid),181966
2018 (Pre-Covid),268762.4
2018 (Pre-Covid),166973.3
2018 (Pre-Covid),142296.8
2018 (Pre-Covid),195814.5
2018 (Pre-Covid),182789.4
2018 (Pre-Covid),164405.7
2018 (Pre-Covid),202086.2
2018 (Pre-Covid),177414.5
2018 (Pre-Covid),162540.4
2018 (Pre-Covid),178709.8
2018 (Pre-Covid),181363.1
2018 (Pre-Covid),164625.9
2018 (Pre-Covid),184924.4
2018 (Pre-Covid),179845.5
2018 (Pre-Covid),6580.2
2018 (Pre-Covid),131236.6
2018 (Pre-Covid),165300.4
2018 (Pre-Covid),178537
2018 (Pre-Covid),141434.3
2018 (Pre-Covid),126103.3
2018 (Pre-Covid),170164.5
2018 (Pre-Covid),171161.9
2018 (Pre-Covid),168898.9
2018 (Pre-Covid),176146.8
2018 (Pre-Covid),166278.8
2018 (Pre-Covid),177787.8
2018 (Pre-Covid),160680
2018 (Pre-Covid),181924.1
2018 (Pre-Covid),168601.2
2018 (Pre-Covid),145005.8
2018 (Pre-Covid),173456.1
2018 (Pre-Covid),139914.3
2018 (Pre-Covid),166210.8
2018 (Pre-Covid),163656.3
2018 (Pre-Covid),178604.8
2018 (Pre-Covid),156726.7
2018 (Pre-Covid),173760.2
2018 (Pre-Covid),153780.9
2018 (Pre-Covid),183994.9
2018 (Pre-Covid),169171.9
2018 (Pre-Covid),155139.2
2018 (Pre-Covid),166997.5
2018 (Pre-Covid),168244.5
2018 (Pre-Covid),168549.3
2018 (Pre-Covid),170796.9
2018 (Pre-Covid),160906.3
2018 (Pre-Covid),147119.1
2018 (Pre-Covid),136090.5
2018 (Pre-Covid),143689.6
2018 (Pre-Covid),151073.9
2018 (Pre-Covid),169898.1
2018 (Pre-Covid),166998.2
2018 (Pre-Covid),152074.9
2018 (Pre-Covid),158427.7
2018 (Pre-Covid),144267.4
2018 (Pre-Covid),172941.8
2018 (Pre-Covid),162440.6
2018 (Pre-Covid),158031.7
2018 (Pre-Covid),164907.7
2018 (Pre-Covid),174746.2
2018 (Pre-Covid),165365.4
2018 (Pre-Covid),134262.6
2018 (Pre-Covid),176476.1
2018 (Pre-Covid),147151.8
2018 (Pre-Covid),173904
2018 (Pre-Covid),187008.8
2018 (Pre-Covid),175846
2018 (Pre-Covid),184642
2018 (Pre-Covid),187243.9
2018 (Pre-Covid),181890.3
2018 (Pre-Covid),181922.6
2018 (Pre-Covid),165424.6
2018 (Pre-Covid),191247.3
2018 (Pre-Covid),157895.9
2018 (Pre-Covid),169734.5
2018 (Pre-Covid),218242.1
2018 (Pre-Covid),204827.8
2018 (Pre-Covid),183977.3
2018 (Pre-Covid),176760.1
2018 (Pre-Covid),166794.8
2018 (Pre-Covid),165613.9
2018 (Pre-Covid),199216
2018 (Pre-Covid),188730.1
2018 (Pre-Covid),173290.4
2018 (Pre-Covid),219481
2018 (Pre-Covid),198860.8
2018 (Pre-Covid),222438.8
2018 (Pre-Covid),128439.5
2018 (Pre-Covid),176952.3
2018 (Pre-Covid),156598.2
2018 (Pre-Covid),157576
2018 (Pre-Covid),152810.8
2018 (Pre-Covid),160338.6
2018 (Pre-Covid),139697
2018 (Pre-Covid),144220.2
2018 (Pre-Covid),166606.6
2018 (Pre-Covid),168273.3
2018 (Pre-Covid),159925.6
2018 (Pre-Covid),148609.7
2018 (Pre-Covid),149372.3
2018 (Pre-Covid),146987.6
2018 (Pre-Covid),152262
2018 (Pre-Covid),119504.9
2018 (Pre-Covid),186609.2
2018 (Pre-Covid),165215.2
2018 (Pre-Covid),137580.8
2018 (Pre-Covid),181892.1
2018 (Pre-Covid),133127.2
2018 (Pre-Covid),185499.5
2018 (Pre-Covid),156440.4
2018 (Pre-Covid),148066.3
2018 (Pre-Covid),196197.6
2018 (Pre-Covid),180498.9
2018 (Pre-Covid),172321.2
2018 (Pre-Covid),184794.5
2018 (Pre-Covid),161248.8
2018 (Pre-Covid),182689.7
2018 (Pre-Covid),182228.3
2018 (Pre-Covid),176940.7
2018 (Pre-Covid),186526
2018 (Pre-Covid),185913.7
2018 (Pre-Covid),196629.4
2018 (Pre-Covid),160906.9
2018 (Pre-Covid),178782.2
2018 (Pre-Covid),193311.7
2018 (Pre-Covid),188366.7
2018 (Pre-Covid),179745.9
2018 (Pre-Covid),187285.7
2018 (Pre-Covid),163239.2
2018 (Pre-Covid),168799.3
2018 (Pre-Covid),178136.6
2018 (Pre-Covid),167810.7
2018 (Pre-Covid),199700.4
2018 (Pre-Covid),200275.5
2018 (Pre-Covid),194856.3
2018 (Pre-Covid),197365.4
2018 (Pre-Covid),189041.5
2018 (Pre-Covid),212072.8
2018 (Pre-Covid),256249.2
2018 (Pre-Covid),305512.1
2018 (Pre-Covid),138425.4
2018 (Pre-Covid),162836.9
2018 (Pre-Covid),159066.3
2018 (Pre-Covid),182377.7
2018 (Pre-Covid),173822
2018 (Pre-Covid),151578
2018 (Pre-Covid),129012.4
2018 (Pre-Covid),124871.3
2018 (Pre-Covid),175347.4
2018 (Pre-Covid),136541
2018 (Pre-Covid),170875.3
2018 (Pre-Covid),178862.2
2018 (Pre-Covid),143163.2
2018 (Pre-Covid),153376.1
2018 (Pre-Covid),144390.4
2018 (Pre-Covid),168700
2018 (Pre-Covid),120905.6
2018 (Pre-Covid),148770.6
2018 (Pre-Covid),135143.3
2018 (Pre-Covid),178393.2
2018 (Pre-Covid),160643.9
2018 (Pre-Covid),155658.2
2018 (Pre-Covid),186308.2
2018 (Pre-Covid),161298.1
2018 (Pre-Covid),144053.9
2018 (Pre-Covid),166533.9
2018 (Pre-Covid),160754.4
2018 (Pre-Covid),135021.2
2018 (Pre-Covid),135988.9
2018 (Pre-Covid),152136.6
2018 (Pre-Covid),148699.6
2018 (Pre-Covid),177837.4
2018 (Pre-Covid),181511.2
2018 (Pre-Covid),152843.2
2018 (Pre-Covid),187683.6
2018 (Pre-Covid),177539.5
2018 (Pre-Covid),152748.9
2018 (Pre-Covid),140542.6
2018 (Pre-Covid),187400.1
2018 (Pre-Covid),141036.4
2018 (Pre-Covid),145237.1
2018 (Pre-Covid),144256.4
2018 (Pre-Covid),135725
2018 (Pre-Covid),169265.5
2018 (Pre-Covid),135702
2018 (Pre-Covid),128715
2018 (Pre-Covid),173511
2018 (Pre-Covid),153011.3
2018 (Pre-Covid),132897.1
2018 (Pre-Covid),189004.4
2018 (Pre-Covid),171415.7
2018 (Pre-Covid),297389.4
2018 (Pre-Covid),173006.3
2018 (Pre-Covid),157519.2
2018 (Pre-Covid),167778.6
2018 (Pre-Covid),186036.2
2018 (Pre-Covid),172824.5
2018 (Pre-Covid),179822.9
2018 (Pre-Covid),169144.8
2018 (Pre-Covid),160610.6
2018 (Pre-Covid),174906
2018 (Pre-Covid),174736.8
2018 (Pre-Covid),179627.8
2018 (Pre-Covid),146919.6
2018 (Pre-Covid),176417
2018 (Pre-Covid),164649
2018 (Pre-Covid),175499.4
2018 (Pre-Covid),162370.9
2018 (Pre-Covid),171193.8
2018 (Pre-Covid),162436.5
2018 (Pre-Covid),191800.7
2018 (Pre-Covid),199241.7
2018 (Pre-Covid),201580.7
2018 (Pre-Covid),207892.2
2018 (Pre-Covid),205128.8
2018 (Pre-Covid),192737
2018 (Pre-Covid),213715.9
2018 (Pre-Covid),188291.4
2018 (Pre-Covid),213063.6
2018 (Pre-Covid),231976.2
2018 (Pre-Covid),218983.5
2018 (Pre-Covid),163971.8
2018 (Pre-Covid),161327.5
2018 (Pre-Covid),153767
2018 (Pre-Covid),151380.8
2018 (Pre-Covid),155241.1
2018 (Pre-Covid),149232.5
2018 (Pre-Covid),143613.9
2018 (Pre-Covid),163956.1
2018 (Pre-Covid),145216
2018 (Pre-Covid),173808.9
2018 (Pre-Covid),159224.9
2018 (Pre-Covid),166137.3
2018 (Pre-Covid),140860.1
2018 (Pre-Covid),158880
2018 (Pre-Covid),160215
2018 (Pre-Covid),130630.1
2018 (Pre-Covid),133071.1
2018 (Pre-Covid),168746.1
2018 (Pre-Covid),170959.2
2018 (Pre-Covid),175828.6
2018 (Pre-Covid),162688.4
2018 (Pre-Covid),163666.4
2018 (Pre-Covid),158944.4
2018 (Pre-Covid),134749.4
2018 (Pre-Covid),137256.6
2018 (Pre-Covid),183304.6
2018 (Pre-Covid),169488.8
2018 (Pre-Covid),133509.2
2018 (Pre-Covid),133193.2
2018 (Pre-Covid),148050.5
2018 (Pre-Covid),157375.1
2018 (Pre-Covid),126946.9
2018 (Pre-Covid),129976.1
2018 (Pre-Covid),132039.5
2018 (Pre-Covid),134669.7
2018 (Pre-Covid),157436.1
2018 (Pre-Covid),155095.9
2018 (Pre-Covid),159927.7
2018 (Pre-Covid),176125
2018 (Pre-Covid),185525.3
2018 (Pre-Covid),167734.2
2018 (Pre-Covid),183984.9
2018 (Pre-Covid),131332.8
2018 (Pre-Covid),222874
2018 (Pre-Covid),213239.9
2018 (Pre-Covid),133444.6
2018 (Pre-Covid),164079.2
2018 (Pre-Covid),161653.3
2018 (Pre-Covid),154833.8
2018 (Pre-Covid),171084.9
2018 (Pre-Covid),172877.7
2018 (Pre-Covid),182559.9
2018 (Pre-Covid),178182.2
2018 (Pre-Covid),187877.9
2018 (Pre-Covid),175403.1
2018 (Pre-Covid),148879.4
2018 (Pre-Covid),161742.3
2018 (Pre-Covid),189771.5
2018 (Pre-Covid),192626.2
2018 (Pre-Covid),209676.9
2018 (Pre-Covid),172110.3
2018 (Pre-Covid),146713.6
2018 (Pre-Covid),164605.2
2018 (Pre-Covid),149868.3
2018 (Pre-Covid),171672.6
2018 (Pre-Covid),181659.9
2018 (Pre-Covid),164103.8
2018 (Pre-Covid),156980.4
2018 (Pre-Covid),160870.7
2018 (Pre-Covid),159509
2018 (Pre-Covid),151445.5
2018 (Pre-Covid),147264.6
2018 (Pre-Covid),169098.6
2019 (Pre-Covid),386.1
2019 (Pre-Covid),386.8
2019 (Pre-Covid),386.1
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387
2019 (Pre-Covid),385.2
2019 (Pre-Covid),385.3
2019 (Pre-Covid),387.3
2019 (Pre-Covid),385
2019 (Pre-Covid),385.1
2019 (Pre-Covid),385.4
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387.4
2019 (Pre-Covid),387.4
2019 (Pre-Covid),383.8
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.8
2019 (Pre-Covid),386.7
2019 (Pre-Covid),386.8
2019 (Pre-Covid),385.9
2019 (Pre-Covid),386.1
2019 (Pre-Covid),386.3
2019 (Pre-Covid),387.4
2019 (Pre-Covid),387.4
2019 (Pre-Covid),381.7
2019 (Pre-Covid),385.9
2019 (Pre-Covid),386.3
2019 (Pre-Covid),386.4
2019 (Pre-Covid),387
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.2
2019 (Pre-Covid),387
2019 (Pre-Covid),385.5
2019 (Pre-Covid),385.6
2019 (Pre-Covid),387.2
2019 (Pre-Covid),385.5
2019 (Pre-Covid),385.3
2019 (Pre-Covid),387
2019 (Pre-Covid),387
2019 (Pre-Covid),386.6
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.9
2019 (Pre-Covid),386.8
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.3
2019 (Pre-Covid),387.2
2019 (Pre-Covid),386.8
2019 (Pre-Covid),387
2019 (Pre-Covid),386.9
2019 (Pre-Covid),385.8
2019 (Pre-Covid),386.1
2019 (Pre-Covid),386.9
2019 (Pre-Covid),386.2
2019 (Pre-Covid),384.9
2019 (Pre-Covid),385.3
2019 (Pre-Covid),385.6
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.9
2019 (Pre-Covid),386.6
2019 (Pre-Covid),386
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.2
2019 (Pre-Covid),385.1
2019 (Pre-Covid),385.9
2019 (Pre-Covid),386
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.1
2019 (Pre-Covid),384
2019 (Pre-Covid),384.4
2019 (Pre-Covid),386
2019 (Pre-Covid),386.4
2019 (Pre-Covid),387.2
2019 (Pre-Covid),386.9
2019 (Pre-Covid),385.5
2019 (Pre-Covid),385.3
2019 (Pre-Covid),386.3
2019 (Pre-Covid),386.9
2019 (Pre-Covid),387
2019 (Pre-Covid),385.8
2019 (Pre-Covid),387
2019 (Pre-Covid),383.4
2019 (Pre-Covid),387.1
2019 (Pre-Covid),384.9
2019 (Pre-Covid),386.5
2019 (Pre-Covid),386.7
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387.3
2019 (Pre-Covid),386
2019 (Pre-Covid),386.4
2019 (Pre-Covid),387.2
2019 (Pre-Covid),382.4
2019 (Pre-Covid),387
2019 (Pre-Covid),387.1
2019 (Pre-Covid),384.6
2019 (Pre-Covid),386.8
2019 (Pre-Covid),386.9
2019 (Pre-Covid),386.9
2019 (Pre-Covid),387.2
2019 (Pre-Covid),385.9
2019 (Pre-Covid),387.3
2019 (Pre-Covid),383.1
2019 (Pre-Covid),383.7
2019 (Pre-Covid),386.9
2019 (Pre-Covid),383.6
2019 (Pre-Covid),386.3
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.5
2019 (Pre-Covid),383.3
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.2
2019 (Pre-Covid),385.5
2019 (Pre-Covid),387.2
2019 (Pre-Covid),387.3
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387.4
2019 (Pre-Covid),386.8
2019 (Pre-Covid),386.5
2019 (Pre-Covid),386.3
2019 (Pre-Covid),385.9
2019 (Pre-Covid),387.3
2019 (Pre-Covid),385.1
2019 (Pre-Covid),386.2
2019 (Pre-Covid),385.2
2019 (Pre-Covid),387
2019 (Pre-Covid),387.2
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.3
2019 (Pre-Covid),386.1
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387
2019 (Pre-Covid),384.2
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.3
2019 (Pre-Covid),384.6
2019 (Pre-Covid),386.3
2019 (Pre-Covid),386.2
2019 (Pre-Covid),387
2019 (Pre-Covid),386.9
2019 (Pre-Covid),385.6
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.8
2019 (Pre-Covid),384
2019 (Pre-Covid),384
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.3
2019 (Pre-Covid),387.3
2019 (Pre-Covid),387.3
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.2
2019 (Pre-Covid),386.8
2019 (Pre-Covid),387.1
2019 (Pre-Covid),387.2
2019 (Pre-Covid),384.1
2019 (Pre-Covid),387.2
2019 (Pre-Covid),387.3
2019 (Pre-Covid),383.6
2019 (Pre-Covid),385.4
2019 (Pre-Covid),386.4
2019 (Pre-Covid),386.3
2019 (Pre-Covid),387.3
2019 (Pre-Covid),387.4
2019 (Pre-Covid),385.8
2019 (Pre-Covid),387.1
2019 (Pre-Covid),385.9
2019 (Pre-Covid),387.5
2019 (Pre-Covid),386.6
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387.1
2019 (Pre-Covid),386.6
2019 (Pre-Covid),386.8
2019 (Pre-Covid),386.7
2019 (Pre-Covid),387.2
2019 (Pre-Covid),384.8
2019 (Pre-Covid),387.4
2019 (Pre-Covid),386.8
2019 (Pre-Covid),386.4
2019 (Pre-Covid),386.4
