Year,Delta Time (s)
2018 (Pre-Covid),0.557
2018 (Pre-Covid),0.869
2018 (Pre-Covid),0.331
2018 (Pre-Covid),0.686
2018 (Pre-Covid),0.667
2018 (Pre-Covid),1.445
2018 (Pre-Covid),1.004
2018 (Pre-Covid),1.12
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.059
2018 (Pre-Covid),1.078
2018 (Pre-Covid),1.022
2018 (Pre-Covid),1.022
2018 (Pre-Covid),1.218
2018 (Pre-Covid),0.539
2018 (Pre-Covid),1.371
2018 (Pre-Covid),0.612
2018 (Pre-Covid),1.274
2018 (Pre-Covid),1.28
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.108
2018 (Pre-Covid),1.225
2018 (Pre-Covid),0.771
2018 (Pre-Covid),1.151
2018 (Pre-Covid),1.298
2018 (Pre-Covid),0.447
2018 (Pre-Covid),1.231
2018 (Pre-Covid),1.016
2018 (Pre-Covid),1.108
2018 (Pre-Covid),0.551
2018 (Pre-Covid),1.127
2018 (Pre-Covid),0.765
2018 (Pre-Covid),1.01
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.114
2018 (Pre-Covid),0.82
2018 (Pre-Covid),0.998
2018 (Pre-Covid),1.108
2018 (Pre-Covid),1.188
2018 (Pre-Covid),1.292
2018 (Pre-Covid),0.618
2018 (Pre-Covid),0.992
2018 (Pre-Covid),0.973
2018 (Pre-Covid),0.612
2018 (Pre-Covid),1.127
2018 (Pre-Covid),0.508
2018 (Pre-Covid),0.973
2018 (Pre-Covid),1.053
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.078
2018 (Pre-Covid),0.514
2018 (Pre-Covid),1.071
2018 (Pre-Covid),0.588
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.484
2018 (Pre-Covid),0.753
2018 (Pre-Covid),1.065
2018 (Pre-Covid),0.753
2018 (Pre-Covid),0.637
2018 (Pre-Covid),0.698
2018 (Pre-Covid),0.71
2018 (Pre-Covid),0.967
2018 (Pre-Covid),0.349
2018 (Pre-Covid),0.729
2018 (Pre-Covid),0.71
2018 (Pre-Covid),0.765
2018 (Pre-Covid),0.355
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.49
2018 (Pre-Covid),1.059
2018 (Pre-Covid),0.527
2018 (Pre-Covid),0.925
2018 (Pre-Covid),0.906
2018 (Pre-Covid),0.435
2018 (Pre-Covid),1.029
2018 (Pre-Covid),1.169
2018 (Pre-Covid),0.618
2018 (Pre-Covid),1.947
2018 (Pre-Covid),1.127
2018 (Pre-Covid),1.114
2018 (Pre-Covid),0.649
2018 (Pre-Covid),1.274
2018 (Pre-Covid),1.292
2018 (Pre-Covid),0.306
2018 (Pre-Covid),1.518
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.298
2018 (Pre-Covid),1.041
2018 (Pre-Covid),0.361
2018 (Pre-Covid),1.029
2018 (Pre-Covid),1.261
2018 (Pre-Covid),1.292
2018 (Pre-Covid),0.52
2018 (Pre-Covid),1.102
2018 (Pre-Covid),0.618
2018 (Pre-Covid),1.047
2018 (Pre-Covid),0.318
2018 (Pre-Covid),1.157
2018 (Pre-Covid),1.31
2018 (Pre-Covid),0.888
2018 (Pre-Covid),1.065
2018 (Pre-Covid),1.151
2018 (Pre-Covid),1.12
2018 (Pre-Covid),1.231
2018 (Pre-Covid),1.169
2018 (Pre-Covid),1.09
2018 (Pre-Covid),0.625
2018 (Pre-Covid),0.925
2018 (Pre-Covid),0.937
2018 (Pre-Covid),0.79
2018 (Pre-Covid),1.035
2018 (Pre-Covid),0.6
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.52
2018 (Pre-Covid),0.98
2018 (Pre-Covid),0.514
2018 (Pre-Covid),1.022
2018 (Pre-Covid),0.876
2018 (Pre-Covid),1.004
2018 (Pre-Covid),0.569
2018 (Pre-Covid),1.022
2018 (Pre-Covid),0.361
2018 (Pre-Covid),0.563
2018 (Pre-Covid),0.741
2018 (Pre-Covid),0.741
2018 (Pre-Covid),0.673
2018 (Pre-Covid),0.643
2018 (Pre-Covid),0.692
2018 (Pre-Covid),0.882
2018 (Pre-Covid),0.447
2018 (Pre-Covid),0.722
2018 (Pre-Covid),0.802
2018 (Pre-Covid),0.318
2018 (Pre-Covid),0.753
2018 (Pre-Covid),0.949
2018 (Pre-Covid),0.312
2018 (Pre-Covid),0.802
2018 (Pre-Covid),0.967
2018 (Pre-Covid),0.373
2018 (Pre-Covid),0.869
2018 (Pre-Covid),0.422
2018 (Pre-Covid),0.925
2018 (Pre-Covid),1.316
2018 (Pre-Covid),1.163
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.292
2018 (Pre-Covid),0.6
2018 (Pre-Covid),1.194
2018 (Pre-Covid),0.625
2018 (Pre-Covid),0.906
2018 (Pre-Covid),1.09
2018 (Pre-Covid),1.157
2018 (Pre-Covid),1.065
2018 (Pre-Covid),0.692
2018 (Pre-Covid),1.151
2018 (Pre-Covid),0.625
2018 (Pre-Covid),1.151
2018 (Pre-Covid),1.243
2018 (Pre-Covid),1.218
2018 (Pre-Covid),1.059
2018 (Pre-Covid),1.004
2018 (Pre-Covid),1.041
2018 (Pre-Covid),0.582
2018 (Pre-Covid),0.998
2018 (Pre-Covid),0.967
2018 (Pre-Covid),1.163
2018 (Pre-Covid),0.631
2018 (Pre-Covid),1.157
2018 (Pre-Covid),1.255
2018 (Pre-Covid),1.261
2018 (Pre-Covid),0.631
2018 (Pre-Covid),1.347
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.274
2018 (Pre-Covid),0.478
2018 (Pre-Covid),1.2
2018 (Pre-Covid),0.888
2018 (Pre-Covid),1.041
2018 (Pre-Covid),1.182
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.12
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.249
2018 (Pre-Covid),0.686
2018 (Pre-Covid),1.549
2018 (Pre-Covid),0.569
2018 (Pre-Covid),1.09
2018 (Pre-Covid),0.502
2018 (Pre-Covid),1.261
2018 (Pre-Covid),0.98
2018 (Pre-Covid),1.243
2018 (Pre-Covid),1.016
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.539
2018 (Pre-Covid),1.047
2018 (Pre-Covid),0.545
2018 (Pre-Covid),1.004
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.514
2018 (Pre-Covid),0.778
2018 (Pre-Covid),0.294
2018 (Pre-Covid),0.722
2018 (Pre-Covid),0.759
2018 (Pre-Covid),0.312
2018 (Pre-Covid),0.625
2018 (Pre-Covid),0.851
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.52
2018 (Pre-Covid),0.912
2018 (Pre-Covid),0.52
2018 (Pre-Covid),0.973
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.49
2018 (Pre-Covid),0.68
2018 (Pre-Covid),1.292
2018 (Pre-Covid),1.151
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.169
2018 (Pre-Covid),0.6
2018 (Pre-Covid),1.255
2018 (Pre-Covid),0.998
2018 (Pre-Covid),0.643
2018 (Pre-Covid),1.482
2018 (Pre-Covid),1.212
2018 (Pre-Covid),0.539
2018 (Pre-Covid),1.353
2018 (Pre-Covid),1.267
2018 (Pre-Covid),0.704
2018 (Pre-Covid),1.053
2018 (Pre-Covid),1.537
2018 (Pre-Covid),1.42
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.31
2018 (Pre-Covid),1.243
2018 (Pre-Covid),1.286
2018 (Pre-Covid),1.022
2018 (Pre-Covid),1.408
2018 (Pre-Covid),1.071
2018 (Pre-Covid),1.537
2018 (Pre-Covid),1.041
2018 (Pre-Covid),0.618
2018 (Pre-Covid),1.022
2018 (Pre-Covid),0.814
2018 (Pre-Covid),0.973
2018 (Pre-Covid),0.931
2018 (Pre-Covid),0.967
2018 (Pre-Covid),1.212
2018 (Pre-Covid),1.016
2018 (Pre-Covid),0.649
2018 (Pre-Covid),1.31
2018 (Pre-Covid),0.955
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.392
2018 (Pre-Covid),0.833
2018 (Pre-Covid),0.41
2018 (Pre-Covid),0.52
2018 (Pre-Covid),0.667
2018 (Pre-Covid),0.429
2018 (Pre-Covid),0.649
2018 (Pre-Covid),0.943
2018 (Pre-Covid),0.416
2018 (Pre-Covid),0.771
2018 (Pre-Covid),0.349
2018 (Pre-Covid),0.784
2018 (Pre-Covid),0.771
2018 (Pre-Covid),0.869
2018 (Pre-Covid),1.31
2018 (Pre-Covid),1.439
2018 (Pre-Covid),0.692
2018 (Pre-Covid),1.335
2018 (Pre-Covid),0.655
2018 (Pre-Covid),1.476
2018 (Pre-Covid),1.2
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.567
2018 (Pre-Covid),0.68
2018 (Pre-Covid),1.39
2018 (Pre-Covid),0.673
2018 (Pre-Covid),0.937
2018 (Pre-Covid),1.298
2018 (Pre-Covid),0.661
2018 (Pre-Covid),1.292
2018 (Pre-Covid),1.022
2018 (Pre-Covid),1.298
2018 (Pre-Covid),0.973
2018 (Pre-Covid),1.078
2018 (Pre-Covid),1.176
2018 (Pre-Covid),1.151
2018 (Pre-Covid),1.261
2018 (Pre-Covid),1.108
2018 (Pre-Covid),0.661
2018 (Pre-Covid),1.029
2018 (Pre-Covid),0.576
2018 (Pre-Covid),0.992
2018 (Pre-Covid),0.471
2018 (Pre-Covid),1.114
2018 (Pre-Covid),0.692
2018 (Pre-Covid),1.855
2018 (Pre-Covid),1.261
2018 (Pre-Covid),1.347
2018 (Pre-Covid),1.261
2018 (Pre-Covid),0.68
2018 (Pre-Covid),1.206
2018 (Pre-Covid),0.814
2018 (Pre-Covid),1.341
2018 (Pre-Covid),1.157
2018 (Pre-Covid),0.845
2018 (Pre-Covid),1.304
2018 (Pre-Covid),1.506
2018 (Pre-Covid),1.09
2018 (Pre-Covid),1.133
2018 (Pre-Covid),0.612
2018 (Pre-Covid),1.071
2018 (Pre-Covid),0.545
2018 (Pre-Covid),1.28
2018 (Pre-Covid),1.096
2018 (Pre-Covid),0.631
2018 (Pre-Covid),1.059
2018 (Pre-Covid),1.139
2018 (Pre-Covid),0.6
2018 (Pre-Covid),0.876
2018 (Pre-Covid),1.047
2018 (Pre-Covid),0.465
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.349
2018 (Pre-Covid),0.925
2018 (Pre-Covid),0.722
2018 (Pre-Covid),0.833
2018 (Pre-Covid),0.741
2018 (Pre-Covid),0.373
2018 (Pre-Covid),0.863
2018 (Pre-Covid),0.318
2018 (Pre-Covid),0.869
2018 (Pre-Covid),0.422
2018 (Pre-Covid),0.857
2018 (Pre-Covid),0.38
2018 (Pre-Covid),0.747
2018 (Pre-Covid),0.753
2018 (Pre-Covid),0.71
2018 (Pre-Covid),0.392
2018 (Pre-Covid),0.814
2018 (Pre-Covid),0.337
2018 (Pre-Covid),0.882
2018 (Pre-Covid),0.361
2018 (Pre-Covid),0.98
2018 (Pre-Covid),1.004
2018 (Pre-Covid),0.373
2018 (Pre-Covid),1.102
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.01
2018 (Pre-Covid),0.588
2018 (Pre-Covid),1.12
2018 (Pre-Covid),0.649
2018 (Pre-Covid),1.139
2018 (Pre-Covid),1.047
2018 (Pre-Covid),0.729
2018 (Pre-Covid),1.31
2018 (Pre-Covid),0.673
2018 (Pre-Covid),1.102
2018 (Pre-Covid),0.986
2018 (Pre-Covid),1.169
2018 (Pre-Covid),0.545
2018 (Pre-Covid),1.169
2018 (Pre-Covid),0.735
2018 (Pre-Covid),1.004
2018 (Pre-Covid),1.114
2018 (Pre-Covid),1.212
2018 (Pre-Covid),0.661
2018 (Pre-Covid),1.139
2018 (Pre-Covid),0.68
2018 (Pre-Covid),1.31
2018 (Pre-Covid),0.6
2018 (Pre-Covid),1.255
2018 (Pre-Covid),0.594
2018 (Pre-Covid),1.506
2018 (Pre-Covid),0.637
2018 (Pre-Covid),1.267
2018 (Pre-Covid),1.231
2018 (Pre-Covid),1.022
2018 (Pre-Covid),1.249
2018 (Pre-Covid),0.998
2018 (Pre-Covid),0.79
2018 (Pre-Covid),1.402
2018 (Pre-Covid),0.661
2018 (Pre-Covid),1.274
2018 (Pre-Covid),1.316
2018 (Pre-Covid),0.68
2018 (Pre-Covid),1.194
2018 (Pre-Covid),1.047
2018 (Pre-Covid),0.967
2018 (Pre-Covid),1.102
2018 (Pre-Covid),0.741
2018 (Pre-Covid),1.347
2018 (Pre-Covid),1.402
2018 (Pre-Covid),0.625
2018 (Pre-Covid),1.402
2018 (Pre-Covid),1.218
2018 (Pre-Covid),1.194
2018 (Pre-Covid),0.563
2018 (Pre-Covid),1.353
2018 (Pre-Covid),1.194
2018 (Pre-Covid),0.882
2018 (Pre-Covid),0.539
2018 (Pre-Covid),0.973
2018 (Pre-Covid),0.563
2018 (Pre-Covid),0.771
2018 (Pre-Covid),0.839
2018 (Pre-Covid),0.698
2018 (Pre-Covid),0.68
2018 (Pre-Covid),0.722
2018 (Pre-Covid),0.349
2018 (Pre-Covid),1.016
2018 (Pre-Covid),0.545
2018 (Pre-Covid),0.906
2018 (Pre-Covid),1.01
2018 (Pre-Covid),0.569
2018 (Pre-Covid),1.096
2018 (Pre-Covid),0.582
2018 (Pre-Covid),0.998
2018 (Pre-Covid),0.576
2018 (Pre-Covid),1.237
2018 (Pre-Covid),1.01
2019 (Pre-Covid),1.172
2019 (Pre-Covid),0.332
2019 (Pre-Covid),0.973
2019 (Pre-Covid),0.466
2019 (Pre-Covid),1.093
2019 (Pre-Covid),0.969
2019 (Pre-Covid),0.978
2019 (Pre-Covid),0.281
2019 (Pre-Covid),1.162
2019 (Pre-Covid),0.411
2019 (Pre-Covid),0.462
2019 (Pre-Covid),0.249
2019 (Pre-Covid),0.877
2019 (Pre-Covid),0.919
2019 (Pre-Covid),0.342
2019 (Pre-Covid),0.895
2019 (Pre-Covid),0.743
2019 (Pre-Covid),0.231
2019 (Pre-Covid),0.605
2019 (Pre-Covid),0.669
2019 (Pre-Covid),0.295
2019 (Pre-Covid),0.831
2019 (Pre-Covid),0.438
2019 (Pre-Covid),0.046
2019 (Pre-Covid),0.872
2019 (Pre-Covid),0.411
2019 (Pre-Covid),0.844
2019 (Pre-Covid),0.886
2019 (Pre-Covid),0.918
2019 (Pre-Covid),0.355
2019 (Pre-Covid),0.955
2019 (Pre-Covid),0.314
2019 (Pre-Covid),0.743
2019 (Pre-Covid),0.355
2019 (Pre-Covid),0.744
2019 (Pre-Covid),0.365
2019 (Pre-Covid),0.868
2019 (Pre-Covid),0.89
2019 (Pre-Covid),0.3
2019 (Pre-Covid),0.909
2019 (Pre-Covid),0.286
2019 (Pre-Covid),0.877
2019 (Pre-Covid),1.029
2019 (Pre-Covid),1.135
2019 (Pre-Covid),1.116
2019 (Pre-Covid),1.172
2019 (Pre-Covid),1.241
2019 (Pre-Covid),0.848
2019 (Pre-Covid),0.424
2019 (Pre-Covid),1.232
2019 (Pre-Covid),0.737
2019 (Pre-Covid),0.972
2019 (Pre-Covid),0.807
2019 (Pre-Covid),1.052
2019 (Pre-Covid),0.425
2019 (Pre-Covid),1.389
2019 (Pre-Covid),0.424
2019 (Pre-Covid),1.559
2019 (Pre-Covid),0.378
2019 (Pre-Covid),0.979
2019 (Pre-Covid),0.65
2019 (Pre-Covid),1.075
2019 (Pre-Covid),0.656
2019 (Pre-Covid),1.076
2019 (Pre-Covid),0.342
2019 (Pre-Covid),1.065
2019 (Pre-Covid),1.148
2019 (Pre-Covid),0.364
2019 (Pre-Covid),0.913
2019 (Pre-Covid),0.443
2019 (Pre-Covid),0.888
2019 (Pre-Covid),0.294
2019 (Pre-Covid),1.436
2019 (Pre-Covid),0.927
2019 (Pre-Covid),1.11
2019 (Pre-Covid),0.287
2019 (Pre-Covid),1.074
2019 (Pre-Covid),0.364
2019 (Pre-Covid),1.065
2019 (Pre-Covid),1.661
2019 (Pre-Covid),0.323
2019 (Pre-Covid),0.986
2019 (Pre-Covid),0.992
2019 (Pre-Covid),1.357
2019 (Pre-Covid),0.998
2019 (Pre-Covid),0.844
2019 (Pre-Covid),1.024
2019 (Pre-Covid),0.258
2019 (Pre-Covid),0.992
2019 (Pre-Covid),0.928
2019 (Pre-Covid),0.959
2019 (Pre-Covid),1.031
2019 (Pre-Covid),0.77
2019 (Pre-Covid),1.025
2019 (Pre-Covid),0.706
2019 (Pre-Covid),1.043
2019 (Pre-Covid),0.842
2019 (Pre-Covid),1.071
2019 (Pre-Covid),0.666
2019 (Pre-Covid),0.822
2019 (Pre-Covid),1.487
2019 (Pre-Covid),1.075
2019 (Pre-Covid),0.743
2019 (Pre-Covid),1.044
2019 (Pre-Covid),0.32
2019 (Pre-Covid),1.012
2019 (Pre-Covid),1.167
2019 (Pre-Covid),1.174
2019 (Pre-Covid),1.051
2019 (Pre-Covid),0.979
2019 (Pre-Covid),0.888
2019 (Pre-Covid),1.162
2019 (Pre-Covid),0.798
2019 (Pre-Covid),0.887
2019 (Pre-Covid),1.328
2019 (Pre-Covid),0.835
2019 (Pre-Covid),1.255
2019 (Pre-Covid),1.083
2019 (Pre-Covid),0.498
2019 (Pre-Covid),0.94
2019 (Pre-Covid),1.042
2019 (Pre-Covid),0.942
2019 (Pre-Covid),0.973
2019 (Pre-Covid),0.875
2019 (Pre-Covid),0.529
2019 (Pre-Covid),1.364
2019 (Pre-Covid),1.233
2019 (Pre-Covid),1.337
2019 (Pre-Covid),0.992
2019 (Pre-Covid),1.051
2019 (Pre-Covid),1.204
2019 (Pre-Covid),0.295
2019 (Pre-Covid),1.333
2019 (Pre-Covid),1.361
2019 (Pre-Covid),1.155
2019 (Pre-Covid),1.181
2019 (Pre-Covid),0.855
2019 (Pre-Covid),0.42
2019 (Pre-Covid),1.351
2019 (Pre-Covid),1.116
2019 (Pre-Covid),0.401
2019 (Pre-Covid),1.168
2019 (Pre-Covid),1.031
2019 (Pre-Covid),0.822
2019 (Pre-Covid),0.373
2019 (Pre-Covid),0.586
2019 (Pre-Covid),0.983
2019 (Pre-Covid),0.277
2019 (Pre-Covid),1.079
2019 (Pre-Covid),0.337
2019 (Pre-Covid),0.692
2019 (Pre-Covid),0.341
2019 (Pre-Covid),0.36
2019 (Pre-Covid),0.323
2019 (Pre-Covid),0.249
2019 (Pre-Covid),0.328
2019 (Pre-Covid),0.969
2019 (Pre-Covid),0.825
2019 (Pre-Covid),0.895
2019 (Pre-Covid),1.07
2019 (Pre-Covid),0.905
2019 (Pre-Covid),0.826
2019 (Pre-Covid),0.979
2019 (Pre-Covid),0.328
2019 (Pre-Covid),0.872
2019 (Pre-Covid),0.309
2019 (Pre-Covid),0.655
2019 (Pre-Covid),1.001
2019 (Pre-Covid),1.038
2019 (Pre-Covid),0.895
2019 (Pre-Covid),0.701
2019 (Pre-Covid),1.024
2019 (Pre-Covid),1.103
2019 (Pre-Covid),1.194
2019 (Pre-Covid),0.385
2019 (Pre-Covid),1.5
2019 (Pre-Covid),1.062
2019 (Pre-Covid),1.075
2019 (Pre-Covid),0.867
2019 (Pre-Covid),1.075
2019 (Pre-Covid),0.783
2019 (Pre-Covid),0.992
2019 (Pre-Covid),1.228
2019 (Pre-Covid),0.705
2019 (Pre-Covid),0.855
2019 (Pre-Covid),1.005
2019 (Pre-Covid),0.352
2019 (Pre-Covid),0.959
2019 (Pre-Covid),0.391
2019 (Pre-Covid),0.858
2019 (Pre-Covid),0.498
2019 (Pre-Covid),0.939
2019 (Pre-Covid),0.346
2019 (Pre-Covid),0.776
2019 (Pre-Covid),0.672
2019 (Pre-Covid),0.92
2019 (Pre-Covid),0.959
2019 (Pre-Covid),1.05
2019 (Pre-Covid),0.365
2019 (Pre-Covid),1.141
2019 (Pre-Covid),0.404
2019 (Pre-Covid),1.05
2019 (Pre-Covid),0.535
2019 (Pre-Covid),1.181
2019 (Pre-Covid),1.234
2019 (Pre-Covid),0.463
2019 (Pre-Covid),0.854
2019 (Pre-Covid),0.678
2019 (Pre-Covid),0.979
2019 (Pre-Covid),0.991
