Year,High Frequency
2018 (Pre-Covid),532
2018 (Pre-Covid),505.7
2018 (Pre-Covid),627.2
2018 (Pre-Covid),638.7
2018 (Pre-Covid),627.2
2018 (Pre-Covid),510.6
2018 (Pre-Covid),637.8
2018 (Pre-Covid),648.1
2018 (Pre-Covid),617.1
2018 (Pre-Covid),765
2018 (Pre-Covid),756.4
2018 (Pre-Covid),651.5
2018 (Pre-Covid),646.4
2018 (Pre-Covid),618.6
2018 (Pre-Covid),489.1
2018 (Pre-Covid),480.7
2018 (Pre-Covid),769.9
2018 (Pre-Covid),638.7
2018 (Pre-Covid),551.3
2018 (Pre-Covid),642.1
2018 (Pre-Covid),537.9
2018 (Pre-Covid),776.6
2018 (Pre-Covid),642.1
2018 (Pre-Covid),613.5
2018 (Pre-Covid),518.9
2018 (Pre-Covid),512.4
2018 (Pre-Covid),647.5
2018 (Pre-Covid),515.7
2018 (Pre-Covid),510.8
2018 (Pre-Covid),616.5
2018 (Pre-Covid),518.9
2018 (Pre-Covid),502.7
2018 (Pre-Covid),495.6
2018 (Pre-Covid),640.9
2018 (Pre-Covid),619.5
2018 (Pre-Covid),631.1
2018 (Pre-Covid),642.7
2018 (Pre-Covid),646
2018 (Pre-Covid),617.9
2018 (Pre-Covid),512.2
2018 (Pre-Covid),631.7
2018 (Pre-Covid),437.3
2018 (Pre-Covid),631.7
2018 (Pre-Covid),519.4
2018 (Pre-Covid),554.6
2018 (Pre-Covid),509.4
2018 (Pre-Covid),636.7
2018 (Pre-Covid),650.1
2018 (Pre-Covid),531.2
2018 (Pre-Covid),485.5
2018 (Pre-Covid),519.3
2018 (Pre-Covid),524.4
2018 (Pre-Covid),600.5
2018 (Pre-Covid),614.1
2018 (Pre-Covid),620.8
2018 (Pre-Covid),615.8
2018 (Pre-Covid),602.2
2018 (Pre-Covid),490.6
2018 (Pre-Covid),500.7
2018 (Pre-Covid),504.5
2018 (Pre-Covid),494.5
2018 (Pre-Covid),491.2
2018 (Pre-Covid),496.2
2018 (Pre-Covid),509.5
2018 (Pre-Covid),629.4
2018 (Pre-Covid),501
2018 (Pre-Covid),489.3
2018 (Pre-Covid),494.3
2018 (Pre-Covid),468.4
2018 (Pre-Covid),465.1
2018 (Pre-Covid),495.2
2018 (Pre-Covid),505.2
2018 (Pre-Covid),625.7
2018 (Pre-Covid),594.4
2018 (Pre-Covid),597.6
2018 (Pre-Covid),645.3
2018 (Pre-Covid),628.8
2018 (Pre-Covid),500.8
2018 (Pre-Covid),496
2018 (Pre-Covid),596.5
2018 (Pre-Covid),606.6
2018 (Pre-Covid),534.5
2018 (Pre-Covid),502.7
2018 (Pre-Covid),642.1
2018 (Pre-Covid),502
2018 (Pre-Covid),607
2018 (Pre-Covid),513.7
2018 (Pre-Covid),607
2018 (Pre-Covid),517
2018 (Pre-Covid),393.6
2018 (Pre-Covid),385.2
2018 (Pre-Covid),380.2
2018 (Pre-Covid),477.6
2018 (Pre-Covid),522.1
2018 (Pre-Covid),513.9
2018 (Pre-Covid),528.7
2018 (Pre-Covid),515.5
2018 (Pre-Covid),612.6
2018 (Pre-Covid),624.3
2018 (Pre-Covid),624.6
2018 (Pre-Covid),641
2018 (Pre-Covid),619.7
2018 (Pre-Covid),500
2018 (Pre-Covid),500
2018 (Pre-Covid),500
2018 (Pre-Covid),634.4
2018 (Pre-Covid),522.7
2018 (Pre-Covid),507.5
2018 (Pre-Covid),516
2018 (Pre-Covid),504.1
2018 (Pre-Covid),385.7
2018 (Pre-Covid),617.4
2018 (Pre-Covid),500.7
2018 (Pre-Covid),507.5
2018 (Pre-Covid),532.9
2018 (Pre-Covid),504.1
2018 (Pre-Covid),509.1
2018 (Pre-Covid),506.5
2018 (Pre-Covid),646.3
2018 (Pre-Covid),513.3
2018 (Pre-Covid),494.5
2018 (Pre-Covid),489.4
2018 (Pre-Covid),625.8
2018 (Pre-Covid),516.7
2018 (Pre-Covid),532
2018 (Pre-Covid),532
2018 (Pre-Covid),544
2018 (Pre-Covid),516.7
2018 (Pre-Covid),528.6
2018 (Pre-Covid),644.6
2018 (Pre-Covid),642.9
2018 (Pre-Covid),608
2018 (Pre-Covid),632.5
2018 (Pre-Covid),586.7
2018 (Pre-Covid),511.5
2018 (Pre-Covid),487
2018 (Pre-Covid),558.9
2018 (Pre-Covid),519.7
2018 (Pre-Covid),509.9
2018 (Pre-Covid),495
2018 (Pre-Covid),529.5
2018 (Pre-Covid),531.2
2018 (Pre-Covid),607
2018 (Pre-Covid),534.5
2018 (Pre-Covid),612
2018 (Pre-Covid),529.5
2018 (Pre-Covid),608.6
2018 (Pre-Covid),518.2
2018 (Pre-Covid),521.6
2018 (Pre-Covid),509.5
2018 (Pre-Covid),499
2018 (Pre-Covid),494.5
2018 (Pre-Covid),647.3
2018 (Pre-Covid),605.8
2018 (Pre-Covid),515.2
2018 (Pre-Covid),505.8
2018 (Pre-Covid),494.5
2018 (Pre-Covid),509.6
2018 (Pre-Covid),511.5
2018 (Pre-Covid),749.6
2018 (Pre-Covid),600.7
2018 (Pre-Covid),501.4
2018 (Pre-Covid),521.2
2018 (Pre-Covid),592.4
2018 (Pre-Covid),622.2
2018 (Pre-Covid),600.7
2018 (Pre-Covid),759.5
2018 (Pre-Covid),519.6
2018 (Pre-Covid),513
2018 (Pre-Covid),524.5
2018 (Pre-Covid),513
2018 (Pre-Covid),511.7
2018 (Pre-Covid),513.4
2018 (Pre-Covid),494.7
2018 (Pre-Covid),610.5
2018 (Pre-Covid),617.4
2018 (Pre-Covid),610.5
2018 (Pre-Covid),388.3
2018 (Pre-Covid),391.8
2018 (Pre-Covid),619.3
2018 (Pre-Covid),638.1
2018 (Pre-Covid),504.4
2018 (Pre-Covid),507.9
2018 (Pre-Covid),494.1
2018 (Pre-Covid),400.8
2018 (Pre-Covid),492.3
2018 (Pre-Covid),518.2
2018 (Pre-Covid),388.7
2018 (Pre-Covid),469.9
2018 (Pre-Covid),463.3
2018 (Pre-Covid),772.2
2018 (Pre-Covid),521
2018 (Pre-Covid),616
2018 (Pre-Covid),610.9
2018 (Pre-Covid),629.6
2018 (Pre-Covid),466.7
2018 (Pre-Covid),456.5
2018 (Pre-Covid),617.7
2018 (Pre-Covid),603.9
2018 (Pre-Covid),506.4
2018 (Pre-Covid),476.4
2018 (Pre-Covid),492.9
2018 (Pre-Covid),484.4
2018 (Pre-Covid),543.9
2018 (Pre-Covid),494.6
2018 (Pre-Covid),727.5
2018 (Pre-Covid),622.1
2018 (Pre-Covid),567.4
2018 (Pre-Covid),624.3
2018 (Pre-Covid),465.7
2018 (Pre-Covid),632.9
2018 (Pre-Covid),515.7
2018 (Pre-Covid),500.1
2018 (Pre-Covid),619.7
2018 (Pre-Covid),619.7
2018 (Pre-Covid),509.8
2018 (Pre-Covid),511.5
2018 (Pre-Covid),485.2
2018 (Pre-Covid),598.4
2018 (Pre-Covid),629.5
2018 (Pre-Covid),642.6
2018 (Pre-Covid),523.3
2018 (Pre-Covid),631.8
2018 (Pre-Covid),600.3
2018 (Pre-Covid),602.1
2018 (Pre-Covid),525.1
2018 (Pre-Covid),649.3
2018 (Pre-Covid),511.9
2018 (Pre-Covid),510.2
2018 (Pre-Covid),604.8
2018 (Pre-Covid),508.4
2018 (Pre-Covid),488.3
2018 (Pre-Covid),513.7
2018 (Pre-Covid),518.7
2018 (Pre-Covid),623.4
2018 (Pre-Covid),503.7
2018 (Pre-Covid),515.4
2018 (Pre-Covid),501.6
2018 (Pre-Covid),512
2018 (Pre-Covid),513.8
2018 (Pre-Covid),532.9
2018 (Pre-Covid),414.5
2018 (Pre-Covid),484.1
2018 (Pre-Covid),600.1
2018 (Pre-Covid),591.1
2018 (Pre-Covid),640
2018 (Pre-Covid),629.1
2018 (Pre-Covid),500.4
2018 (Pre-Covid),486.6
2018 (Pre-Covid),479.6
2018 (Pre-Covid),484.8
2018 (Pre-Covid),477.8
2018 (Pre-Covid),752.6
2018 (Pre-Covid),721.1
2018 (Pre-Covid),490.1
2018 (Pre-Covid),596.8
2018 (Pre-Covid),612.6
2018 (Pre-Covid),614.3
2018 (Pre-Covid),596
2018 (Pre-Covid),679.3
2018 (Pre-Covid),466.5
2018 (Pre-Covid),605.3
2018 (Pre-Covid),492.4
2018 (Pre-Covid),644.2
2018 (Pre-Covid),627.5
2018 (Pre-Covid),480.9
2018 (Pre-Covid),496.5
2018 (Pre-Covid),602.4
2018 (Pre-Covid),590.2
2018 (Pre-Covid),501.7
2018 (Pre-Covid),579.8
2018 (Pre-Covid),482.6
2018 (Pre-Covid),519
2018 (Pre-Covid),607.6
2018 (Pre-Covid),631.9
2018 (Pre-Covid),494.7
2018 (Pre-Covid),607.6
2018 (Pre-Covid),628.9
2018 (Pre-Covid),493.9
2018 (Pre-Covid),485
2018 (Pre-Covid),623.6
2018 (Pre-Covid),477.9
2018 (Pre-Covid),476.1
2018 (Pre-Covid),630.7
2018 (Pre-Covid),474.4
2018 (Pre-Covid),624.1
2018 (Pre-Covid),592.6
2018 (Pre-Covid),480.4
2018 (Pre-Covid),618.9
2018 (Pre-Covid),629.4
2018 (Pre-Covid),592.6
2018 (Pre-Covid),646.9
2018 (Pre-Covid),611.9
2018 (Pre-Covid),515.4
2018 (Pre-Covid),510.2
2018 (Pre-Covid),513.7
2018 (Pre-Covid),510.2
2018 (Pre-Covid),504.9
2018 (Pre-Covid),499.6
2018 (Pre-Covid),508
2018 (Pre-Covid),497.7
2018 (Pre-Covid),487.4
2018 (Pre-Covid),491
2018 (Pre-Covid),511.6
2018 (Pre-Covid),600.2
2018 (Pre-Covid),504.8
2018 (Pre-Covid),499.6
2018 (Pre-Covid),383.7
2018 (Pre-Covid),508.2
2018 (Pre-Covid),503
2018 (Pre-Covid),504.8
2018 (Pre-Covid),511.6
2018 (Pre-Covid),486
2018 (Pre-Covid),512.4
2018 (Pre-Covid),502.1
2018 (Pre-Covid),510.7
2018 (Pre-Covid),495.3
2018 (Pre-Covid),483.4
2018 (Pre-Covid),500.4
2018 (Pre-Covid),415
2018 (Pre-Covid),498.7
2018 (Pre-Covid),398
2018 (Pre-Covid),406.5
2018 (Pre-Covid),522.5
2018 (Pre-Covid),541.7
2018 (Pre-Covid),492.8
2018 (Pre-Covid),503.2
2018 (Pre-Covid),496.3
2018 (Pre-Covid),501.5
2018 (Pre-Covid),604.6
2018 (Pre-Covid),611.6
2018 (Pre-Covid),630.8
2018 (Pre-Covid),592.4
2018 (Pre-Covid),533
2018 (Pre-Covid),512
2018 (Pre-Covid),471.8
2018 (Pre-Covid),581.6
2018 (Pre-Covid),514.4
2018 (Pre-Covid),485.8
2018 (Pre-Covid),492.5
2018 (Pre-Covid),534.5
2018 (Pre-Covid),509.3
2018 (Pre-Covid),627
2018 (Pre-Covid),534.5
2018 (Pre-Covid),497.5
2018 (Pre-Covid),500.8
2018 (Pre-Covid),481.1
2018 (Pre-Covid),486
2018 (Pre-Covid),619
2018 (Pre-Covid),604.2
2018 (Pre-Covid),472.9
2018 (Pre-Covid),481.1
2018 (Pre-Covid),487.6
2018 (Pre-Covid),515.6
2018 (Pre-Covid),477.8
2018 (Pre-Covid),494.2
2018 (Pre-Covid),480.2
2018 (Pre-Covid),487.2
2018 (Pre-Covid),503.1
2018 (Pre-Covid),517.1
2018 (Pre-Covid),522.4
2018 (Pre-Covid),599.8
2018 (Pre-Covid),511.9
2018 (Pre-Covid),522.4
2018 (Pre-Covid),539
2018 (Pre-Covid),566.7
2018 (Pre-Covid),599.7
2018 (Pre-Covid),599.7
2018 (Pre-Covid),493.9
2018 (Pre-Covid),736.6
2018 (Pre-Covid),532.1
2018 (Pre-Covid),545.9
2018 (Pre-Covid),507.8
2018 (Pre-Covid),507.8
2018 (Pre-Covid),483.5
2018 (Pre-Covid),596.2
2018 (Pre-Covid),490.5
2018 (Pre-Covid),602.6
2018 (Pre-Covid),500.3
2018 (Pre-Covid),624.2
2018 (Pre-Covid),594.6
2018 (Pre-Covid),604.7
2018 (Pre-Covid),498.5
2018 (Pre-Covid),501.7
2018 (Pre-Covid),488.7
2018 (Pre-Covid),516.4
2018 (Pre-Covid),493.6
2018 (Pre-Covid),604.7
2018 (Pre-Covid),606.3
2018 (Pre-Covid),601.4
2018 (Pre-Covid),595.1
2018 (Pre-Covid),624.1
2018 (Pre-Covid),489.4
2018 (Pre-Covid),487.7
2018 (Pre-Covid),595.1
2018 (Pre-Covid),610.5
2018 (Pre-Covid),600.7
2018 (Pre-Covid),624.7
2019 (Pre-Covid),484.7
2019 (Pre-Covid),421.4
2019 (Pre-Covid),489.9
2019 (Pre-Covid),476
2019 (Pre-Covid),605.4
2019 (Pre-Covid),595.8
2019 (Pre-Covid),604.6
2019 (Pre-Covid),613.1
2019 (Pre-Covid),479.4
2019 (Pre-Covid),600
2019 (Pre-Covid),615
2019 (Pre-Covid),604.3
2019 (Pre-Covid),492.8
2019 (Pre-Covid),486.4
2019 (Pre-Covid),482.1
2019 (Pre-Covid),495.9
2019 (Pre-Covid),592.3
2019 (Pre-Covid),482.1
2019 (Pre-Covid),606.1
2019 (Pre-Covid),622.2
2019 (Pre-Covid),617.6
2019 (Pre-Covid),494.5
2019 (Pre-Covid),487.8
2019 (Pre-Covid),481.1
2019 (Pre-Covid),490.1
2019 (Pre-Covid),485.6
2019 (Pre-Covid),608.4
2019 (Pre-Covid),481.7
2019 (Pre-Covid),493
2019 (Pre-Covid),490.8
2019 (Pre-Covid),621.9
2019 (Pre-Covid),486.2
2019 (Pre-Covid),495.3
2019 (Pre-Covid),488.5
2019 (Pre-Covid),493.4
2019 (Pre-Covid),497.7
2019 (Pre-Covid),491.2
2019 (Pre-Covid),601.2
2019 (Pre-Covid),501
2019 (Pre-Covid),603.6
2019 (Pre-Covid),498.6
2019 (Pre-Covid),592.6
2019 (Pre-Covid),493.4
2019 (Pre-Covid),612.1
2019 (Pre-Covid),475
2019 (Pre-Covid),473.3
2019 (Pre-Covid),480.3
2019 (Pre-Covid),581.1
2019 (Pre-Covid),746.3
2019 (Pre-Covid),498
2019 (Pre-Covid),467
2019 (Pre-Covid),489.2
2019 (Pre-Covid),472.4
2019 (Pre-Covid),479.9
2019 (Pre-Covid),424.3
2019 (Pre-Covid),594.8
2019 (Pre-Covid),441
2019 (Pre-Covid),828.6
2019 (Pre-Covid),603
2019 (Pre-Covid),475.2
2019 (Pre-Covid),437.7
2019 (Pre-Covid),608.3
2019 (Pre-Covid),462.5
2019 (Pre-Covid),611.6
2019 (Pre-Covid),605.8
2019 (Pre-Covid),480.3
2019 (Pre-Covid),617.6
2019 (Pre-Covid),605.8
2019 (Pre-Covid),492.1
2019 (Pre-Covid),494.1
2019 (Pre-Covid),610.8
2019 (Pre-Covid),604.2
2019 (Pre-Covid),485.1
2019 (Pre-Covid),476.3
2019 (Pre-Covid),602
2019 (Pre-Covid),610.8
2019 (Pre-Covid),611.7
2019 (Pre-Covid),617.9
2019 (Pre-Covid),490.2
2019 (Pre-Covid),490.2
2019 (Pre-Covid),486.1
2019 (Pre-Covid),615
2019 (Pre-Covid),593.5
2019 (Pre-Covid),604.6
2019 (Pre-Covid),485.4
2019 (Pre-Covid),502.2
2019 (Pre-Covid),616.8
2019 (Pre-Covid),498
2019 (Pre-Covid),481.4
2019 (Pre-Covid),607.8
2019 (Pre-Covid),610.4
2019 (Pre-Covid),498.3
2019 (Pre-Covid),504.3
2019 (Pre-Covid),614.8
2019 (Pre-Covid),488.7
2019 (Pre-Covid),599
2019 (Pre-Covid),383.6
2019 (Pre-Covid),479.4
2019 (Pre-Covid),483.4
2019 (Pre-Covid),490.7
2019 (Pre-Covid),611.8
2019 (Pre-Covid),479.2
2019 (Pre-Covid),368.5
2019 (Pre-Covid),481.9
2019 (Pre-Covid),484
2019 (Pre-Covid),370.5
2019 (Pre-Covid),371.3
2019 (Pre-Covid),375.6
2019 (Pre-Covid),366
2019 (Pre-Covid),368.4
2019 (Pre-Covid),369
2019 (Pre-Covid),459.8
2019 (Pre-Covid),490.2
2019 (Pre-Covid),465.4
2019 (Pre-Covid),477.9
2019 (Pre-Covid),484.6
2019 (Pre-Covid),603.2
2019 (Pre-Covid),478.9
2019 (Pre-Covid),430.6
2019 (Pre-Covid),475.5
2019 (Pre-Covid),495
2019 (Pre-Covid),480.3
2019 (Pre-Covid),615.2
2019 (Pre-Covid),574.4
2019 (Pre-Covid),504.7
2019 (Pre-Covid),482.1
2019 (Pre-Covid),606.1
2019 (Pre-Covid),493
2019 (Pre-Covid),475.9
2019 (Pre-Covid),502.6
2019 (Pre-Covid),603.8
2019 (Pre-Covid),540.3
2019 (Pre-Covid),477.9
2019 (Pre-Covid),602.1
2019 (Pre-Covid),443.4
2019 (Pre-Covid),483.7
2019 (Pre-Covid),479.9
2019 (Pre-Covid),524.8
2019 (Pre-Covid),484.7
2019 (Pre-Covid),488.7
2019 (Pre-Covid),590.6
2019 (Pre-Covid),480.8
2019 (Pre-Covid),600.1
2019 (Pre-Covid),486.5
2019 (Pre-Covid),566.2
2019 (Pre-Covid),596.1
2019 (Pre-Covid),595.8
2019 (Pre-Covid),589.5
2019 (Pre-Covid),464.8
2019 (Pre-Covid),572.6
2019 (Pre-Covid),602.2
2019 (Pre-Covid),597.9
2019 (Pre-Covid),583.1
2019 (Pre-Covid),477.6
2019 (Pre-Covid),578.9
2019 (Pre-Covid),591.3
2019 (Pre-Covid),469.3
2019 (Pre-Covid),487.7
2019 (Pre-Covid),471.4
2019 (Pre-Covid),493.8
2019 (Pre-Covid),465.5
2019 (Pre-Covid),481.9
2019 (Pre-Covid),481.9
2019 (Pre-Covid),481.9
2019 (Pre-Covid),479.9
2019 (Pre-Covid),479.9
2019 (Pre-Covid),481.7
2019 (Pre-Covid),600.1
2019 (Pre-Covid),596.9
2019 (Pre-Covid),599.1
2019 (Pre-Covid),484.1
2019 (Pre-Covid),488.4
2019 (Pre-Covid),484.1
2019 (Pre-Covid),480.3
2019 (Pre-Covid),471.4
2019 (Pre-Covid),569.5
2019 (Pre-Covid),484.9
2019 (Pre-Covid),484.4
2019 (Pre-Covid),495.1
2019 (Pre-Covid),485.7
2019 (Pre-Covid),480.2
2019 (Pre-Covid),487.2
2019 (Pre-Covid),471.6
2019 (Pre-Covid),447.6
2019 (Pre-Covid),472.3
2019 (Pre-Covid),478.9
2019 (Pre-Covid),482.8
2019 (Pre-Covid),486.7
2019 (Pre-Covid),484.7
2019 (Pre-Covid),478.6
2019 (Pre-Covid),478.6
2019 (Pre-Covid),485.7
2019 (Pre-Covid),477.9
2019 (Pre-Covid),477.9
2019 (Pre-Covid),480.6
2019 (Pre-Covid),480.2
2019 (Pre-Covid),480
2019 (Pre-Covid),485.8
2019 (Pre-Covid),481.9
2019 (Pre-Covid),484.1
2019 (Pre-Covid),486.1
2019 (Pre-Covid),598.2
2019 (Pre-Covid),422
2019 (Pre-Covid),467.2
2019 (Pre-Covid),592.5
2019 (Pre-Covid),594.3
2019 (Pre-Covid),590.6
2019 (Pre-Covid),467.7
2019 (Pre-Covid),487.6
2019 (Pre-Covid),586
2019 (Pre-Covid),481
2019 (Pre-Covid),479.1
2019 (Pre-Covid),492
2019 (Pre-Covid),486
2019 (Pre-Covid),475.7
2019 (Pre-Covid),595.7
2019 (Pre-Covid),492.8
2019 (Pre-Covid),482.7
2019 (Pre-Covid),478.7
2019 (Pre-Covid),494.6
2019 (Pre-Covid),486.6
2019 (Pre-Covid),490.6
2019 (Pre-Covid),475.6
